Metric,Brightness=0.5,Brightness=1.5,Noise=0.01,Noise=0.05,Noise=0.1,Scale=0.8,Scale=1.2,Scale=1.5,Rotate=15,Rotate=30,Rotate=45,Rotate=90,Rotate=180,Rotate=360,Translate=0.1,Translate=0.2,Translate=0.3
Accuracy,0.7780548628428927,0.713216957605985,0.8129675810473815,0.6508728179551122,0.5261845386533666,0.8154613466334164,0.8379052369077307,0.8603491271820449,0.830423940149626,0.830423940149626,0.8403990024937655,0.8503740648379052,0.8478802992518704,0.8453865336658354,0.8129675810473815,0.8254364089775561,0.8428927680798005
Precision,0.9827586206896551,0.9886363636363636,1.0,1.0,1.0,0.9922480620155039,1.0,1.0,0.9925925925925926,0.9925925925925926,0.9790209790209791,1.0,0.9929577464788732,0.9727891156462585,0.9921875,0.9851851851851852,0.9726027397260274
Recall,0.5671641791044776,0.43283582089552236,0.6268656716417911,0.3034825870646766,0.05472636815920398,0.6368159203980099,0.6766169154228856,0.7213930348258707,0.6666666666666666,0.6666666666666666,0.6965174129353234,0.7014925373134329,0.7014925373134329,0.7114427860696517,0.6318407960199005,0.6616915422885572,0.7064676616915423
F1 Score,0.7192429022082019,0.6020761245674741,0.7706422018348624,0.46564885496183206,0.10377358490566038,0.7757575757575758,0.8071216617210683,0.838150289017341,0.7976190476190477,0.7976190476190477,0.813953488372093,0.8245614035087719,0.8221574344023324,0.8218390804597702,0.7720364741641338,0.7916666666666666,0.8184438040345822
AUC,0.9169154228855722,0.8746268656716418,0.9597512437810944,0.9250995024875622,0.8146019900497513,0.9499004975124379,0.963407960199005,0.96681592039801,0.9614676616915423,0.9614925373134329,0.9647512437810946,0.9675124378109454,0.9671890547263682,0.962587064676617,0.9627114427860697,0.962039800995025,0.9550000000000001
