Metric,Brightness=0.5,Brightness=1.5,Noise=0.01,Noise=0.05,Noise=0.1,Scale=0.8,Scale=1.2,Scale=1.5,Rotate=15,Rotate=30,Rotate=45,Rotate=90,Rotate=180,Rotate=360,Translate=0.1,Translate=0.2,Translate=0.3
Accuracy,0.8802992518703242,0.8179551122194514,0.8553615960099751,0.5112219451371571,0.49875311720698257,0.9526184538653366,0.8528678304239401,0.8379052369077307,0.9276807980049875,0.9376558603491272,0.9501246882793017,0.9551122194513716,0.9476309226932669,0.9201995012468828,0.9301745635910225,0.9351620947630923,0.9451371571072319
Precision,0.9580838323353293,0.9,0.993103448275862,1.0,0.0,0.9690721649484536,0.9930555555555556,0.9857142857142858,0.9886363636363636,0.9782608695652174,0.9738219895287958,0.9841269841269841,0.9736842105263158,0.9518716577540107,0.9942857142857143,0.9834254143646409,0.9786096256684492
Recall,0.7960199004975125,0.7164179104477612,0.7164179104477612,0.024875621890547265,0.0,0.9353233830845771,0.7114427860696517,0.6865671641791045,0.8656716417910447,0.8955223880597015,0.9253731343283582,0.9253731343283582,0.9203980099502488,0.8855721393034826,0.8656716417910447,0.8855721393034826,0.9104477611940298
F1 Score,0.8695652173913043,0.7977839335180056,0.8323699421965318,0.04854368932038835,0.0,0.9518987341772152,0.8289855072463768,0.8093841642228738,0.9230769230769231,0.935064935064935,0.9489795918367347,0.9538461538461539,0.9462915601023018,0.9175257731958762,0.925531914893617,0.9319371727748691,0.9432989690721649
AUC,0.9691293532338308,0.9280845771144279,0.9901492537313433,0.9349999999999999,0.7346766169154229,0.9901243781094528,0.9909701492537314,0.9842039800995024,0.9907960199004975,0.9931094527363185,0.9905223880597015,0.9941542288557214,0.9849751243781094,0.9864427860696517,0.9927611940298506,0.9903980099502487,0.9893034825870647
